name,inferred_type,role_guess,unit_guess,periodicity_guess,non_null,nulls,n_unique,sample_values,suggested_dtype,notes
stock,object,identificador_empresa,,por empresa,17511,0,4422,"['IVC', 'CSLT', 'LPX', 'GDYN', 'ARA']",string,
endDate,object,fecha,,trimestral/aprox,17511,0,255,"['2019-12-31', '2018-12-31', '2017-12-31', '2016-12-31', '2019-03-31']",datetime,convertir con pd.to_datetime
accountsPayable,float64,numérico,,desconocida,16415,1096,14819,"[np.float64(88003000.0), np.float64(92469000.0), np.float64(90566000.0), np.float64(88236000.0), np.float64(19596000.0)]",,
inventory,float64,numérico,,desconocida,9640,7871,8867,"[np.float64(121184000.0), np.float64(128644000.0), np.float64(121933000.0), np.float64(135644000.0), np.float64(265000000.0)]",,
longTermDebt,float64,balance,moneda (prob. USD),desconocida,11222,6289,10746,"[np.float64(219464000.0), np.float64(225733000.0), np.float64(241405000.0), np.float64(146088000.0), np.float64(347000000.0)]",numeric,
netReceivables,float64,numérico,,desconocida,14544,2967,13691,"[np.float64(140013000.0), np.float64(138476000.0), np.float64(143464000.0), np.float64(132707000.0), np.float64(31397000.0)]",,
netTangibleAssets,float64,balance,moneda (prob. USD),desconocida,17351,160,17089,"[np.float64(-91334000.0), np.float64(-48632000.0), np.float64(-8233000.0), np.float64(32762000.0), np.float64(68911000.0)]",numeric,
longTermInvestments,float64,numérico,,desconocida,7499,10012,6874,"[np.float64(85000.0), np.float64(90000.0), np.float64(103000.0), np.float64(108000.0), np.float64(10000000.0)]",,
totalCurrentAssets,float64,balance,moneda (prob. USD),desconocida,17331,180,16999,"[np.float64(355877000.0), np.float64(397410000.0), np.float64(456914000.0), np.float64(409072000.0), np.float64(95470000.0)]",numeric,
propertyPlantEquipment,float64,numérico,,desconocida,15768,1743,14905,"[np.float64(92183000.0), np.float64(74306000.0), np.float64(80016000.0), np.float64(75359000.0), np.float64(18762000.0)]",,
otherStockholderEquity,float64,identificador_empresa,,por empresa,12046,5465,9878,"[np.float64(3128000.0), np.float64(12793000.0), np.float64(36870000.0), np.float64(-19335000.0), np.float64(-153000000.0)]",string,
deferredLongTermAssetCharges,float64,balance,moneda (prob. USD),desconocida,6055,11456,5215,"[np.float64(928000.0), np.float64(352000.0), np.float64(518000.0), np.float64(837000.0), np.float64(1000000.0)]",numeric,
totalCurrentLiabilities,float64,balance,moneda (prob. USD),desconocida,17316,195,16830,"[np.float64(218657000.0), np.float64(198208000.0), np.float64(218064000.0), np.float64(220861000.0), np.float64(54907000.0)]",numeric,
cash,float64,cash,moneda (prob. USD),desconocida,16929,582,15816,"[np.float64(80063000.0), np.float64(116907000.0), np.float64(176528000.0), np.float64(124234000.0), np.float64(43017000.0)]",numeric,limpiar símbolos monetarios y convertir a float
otherAssets,float64,balance,moneda (prob. USD),desconocida,15863,1648,13772,"[np.float64(4131000.0), np.float64(6270000.0), np.float64(97473000.0), np.float64(29579000.0), np.float64(24589000.0)]",numeric,
treasuryStock,float64,identificador_empresa,,por empresa,12972,4539,11239,"[np.float64(-101199000.0), np.float64(-90640000.0), np.float64(-64136000.0), np.float64(-119065000.0), np.float64(-559000000.0)]",string,
goodWill,float64,numérico,,desconocida,9663,7848,7307,"[np.float64(373403000.0), np.float64(381273000.0), np.float64(401283000.0), np.float64(360602000.0), np.float64(30000000.0)]",,
otherLiab,float64,numérico,,desconocida,14222,3289,13079,"[np.float64(66949000.0), np.float64(74965000.0), np.float64(183270000.0), np.float64(114407000.0), np.float64(1785000.0)]",,
retainedEarnings,float64,numérico,,desconocida,16091,1420,15882,"[np.float64(87475000.0), np.float64(142447000.0), np.float64(187999000.0), np.float64(266144000.0), np.float64(-455042000.0)]",,
otherCurrentAssets,float64,balance,moneda (prob. USD),desconocida,11209,6302,9404,"[np.float64(2851000.0), np.float64(3221000.0), np.float64(4253000.0), np.float64(6446000.0), np.float64(2186000.0)]",numeric,
commonStock,float64,identificador_empresa,,por empresa,16329,1182,7264,"[np.float64(9590000.0), np.float64(9421000.0), np.float64(9306000.0), np.float64(9157000.0), np.float64(15000.0)]",string,
totalAssets,float64,balance,moneda (prob. USD),desconocida,17339,172,17179,"[np.float64(852126000.0), np.float64(885855000.0), np.float64(1066033000.0), np.float64(903743000.0), np.float64(242784000.0)]",numeric,
otherCurrentLiab,float64,numérico,,desconocida,13304,4207,11837,"[np.float64(21634000.0), np.float64(22750000.0), np.float64(34119000.0), np.float64(33800000.0), np.float64(18768000.0)]",,
deferredLongTermLiab,float64,numérico,,desconocida,2632,14879,2235,"[np.float64(602000.0), np.float64(402000.0), np.float64(787000.0), np.float64(793000.0), np.float64(21429000.0)]",,
totalStockholderEquity,float64,identificador_empresa,,por empresa,17354,157,17100,"[np.float64(308516000.0), np.float64(359147000.0), np.float64(423294000.0), np.float64(422387000.0), np.float64(172874000.0)]",string,
totalLiab,float64,numérico,,desconocida,17326,185,17087,"[np.float64(543610000.0), np.float64(526708000.0), np.float64(642739000.0), np.float64(481356000.0), np.float64(69910000.0)]",,
capitalSurplus,float64,numérico,,desconocida,14489,3022,14068,"[np.float64(312650000.0), np.float64(297919000.0), np.float64(290125000.0), np.float64(266151000.0), np.float64(627899000.0)]",,
intangibleAssets,float64,balance,moneda (prob. USD),desconocida,11238,6273,10234,"[np.float64(26447000.0), np.float64(26506000.0), np.float64(30244000.0), np.float64(29023000.0), np.float64(1157000.0)]",numeric,
shortTermInvestments,float64,numérico,,desconocida,3858,13653,3592,"[np.float64(16411000.0), np.float64(11327000.0), np.float64(32025000.0), np.float64(65882000.0), np.float64(13134000.0)]",,
shortLongTermDebt,float64,balance,moneda (prob. USD),desconocida,5435,12076,4282,"[np.float64(39172000.0), np.float64(42553000.0), np.float64(44937000.0), np.float64(48274000.0), np.float64(16100000.0)]",numeric,
minorityInterest,float64,numérico,,desconocida,4405,13106,3732,"[np.float64(290472000.0), np.float64(297980000.0), np.float64(318136000.0), np.float64(344848000.0), np.float64(192000000.0)]",,
